strain,MoS2_homo,MoS2_lumo,WSe2_homo,WSe2_lumo
0.98,-6.115010233276246,-2.9802645834767447,-5.581689575769771,-1.9637928541462013
0.9808,-6.104797632486042,-2.9901325203455054,-5.574622715688713,-1.9744781535557947
0.9816,-6.100119911430642,-2.9993628730328505,-5.5675492695371505,-1.9851127010392078
0.9823999999999999,-6.090636638403887,-3.009094936280765,-5.560628477936003,-1.9957633582881942
0.9832,-6.084715802955419,-3.0183750666740297,-5.553709331913358,-2.0063460023887254
0.984,-6.078308380884148,-3.0277174877303,-5.5468142752317995,-2.016862143828739
0.9848,-6.07202891131747,-3.0370142515271117,-5.539756647690851,-2.027337232991608
0.9856,-6.0634361429338615,-3.0464963209430316,-5.533181992969682,-2.037713449983047
0.9863999999999999,-6.057321115146289,-3.055717464207413,-5.526422788231064,-2.0481308046418873
0.9872,-6.051326702922077,-3.0648908424830177,-5.51976560524282,-2.0584926829047916
0.988,-6.0441474579466,-3.0741479419471553,-5.51297120137413,-2.0687855974864315
0.9888,-6.036943651806303,-3.0833917349079174,-5.506472277480822,-2.0790738948390115
0.9896,-6.029933429394986,-3.092278846392451,-5.4999165301780435,-2.0893036879236018
0.9904,-6.024911054409506,-3.1012843950037543,-5.493256621174445,-2.0995150076039066
0.9912,-6.016929980836051,-3.1104613453944205,-5.486806996662518,-2.1096749321082866
0.992,-6.008496808326207,-3.1198092289643835,-5.480287144528484,-2.119748360031534
0.9928,-6.0019203615383585,-3.1285115596628974,-5.473885672034175,-2.1298121084266377
0.9936,-5.9933111538859825,-3.1376576570115695,-5.467566838887128,-2.1398572697713627
0.9944,-5.990274174874328,-3.1463160155952585,-5.461331767222154,-2.149878804262008
0.9952,-5.984757288438927,-3.155153567424549,-5.455101235408953,-2.1598337002651933
0.996,-5.973599318912198,-3.1644275621177655,-5.448899350431416,-2.169735493606653
0.9968,-5.970796790220881,-3.1729950476721287,-5.442822550020571,-2.179646661336849
0.9976,-5.961684113704654,-3.182036741838917,-5.436746705966739,-2.1895277408608864
0.9984,-5.959490736867957,-3.1908188000558715,-5.4307011731659065,-2.1993270790870834
0.9992,-5.9534772088525445,-3.1996030442726764,-5.424690751570437,-2.2090994541668056
1.0,-5.947464866193691,-3.208324094431131,-5.418728214045741,-2.2188075632501496
1.0008,-5.941688750298459,-3.2169837720279006,-5.412795001304295,-2.228472101455024
1.0016,-5.9357032891324915,-3.225655680604195,-5.406883020740668,-2.2381051919158117
1.0024,-5.928100781762024,-3.2346114825699948,-5.401118590350295,-2.247763878699689
1.0032,-5.92206169332482,-3.2432255763284625,-5.395560869350673,-2.2573691379420984
1.004,-5.917920725534467,-3.2514562790601174,-5.389856922731779,-2.266911960972517
1.0048,-5.912187660147138,-3.2599965837079905,-5.3842258947371375,-2.276453783822505
1.0056,-5.904175015510039,-3.2688901475480048,-5.378657812265597,-2.285970528067923
1.0064,-5.900967455096776,-3.2769574335920173,-5.373102881136248,-2.2954259139917714
1.0072,-5.8952932711982005,-3.285384860103158,-5.36759175079378,-2.3048159581097085
1.008,-5.889756842812336,-3.2937880537239552,-5.362132346139336,-2.31419458725298
1.0088,-5.884402037247304,-3.3021638949141323,-5.3567008813762715,-2.3235446306525316
1.0096,-5.878737606365837,-3.3105044490077633,-5.3509636092025845,-2.332497851720868
1.0104,-5.873400333754776,-3.3188115118181387,-5.345996783084058,-2.3420898034093427
1.0112,-5.868108216881707,-3.3270814382421023,-5.340684890870624,-2.351314376949417
1.012,-5.863032689809225,-3.3353173107473535,-5.335510346392615,-2.360560641875919
1.0128,-5.857784397958493,-3.343525057514568,-5.330357933394164,-2.369761708437993
1.0136,-5.852156590816464,-3.3518161895900302,-5.325229043347713,-2.3788977430520593
1.0144,-5.846985579773069,-3.359087326566849,-5.320126067482081,-2.3879860321943838
1.0152,-5.8410972324157555,-3.368280970103337,-5.315094192104759,-2.3970378216386043
1.016,-5.836855735004615,-3.376233869808349,-5.310076147851302,-2.406048804723953
1.0168,-5.831963058174358,-3.38435623724721,-5.305098469333083,-2.414978081009905
1.0176,-5.826748400961566,-3.392364196618027,-5.3002147037481215,-2.423952888231689
1.0184,-5.82266649139174,-3.4002424696022824,-5.295513375444097,-2.433073130911181
1.0192,-5.817313193356532,-3.408329097867817,-5.2906739303631465,-2.441944286390938
1.02,-5.812164731383431,-3.416349284550252,-5.285984453535443,-2.4508513468301585
