strain,MoS2_homo,MoS2_lumo,WSe2_homo,WSe2_lumo
0.995,-6.00434310100049,-3.2314434114484265,-5.4696617518681245,-2.291298477370571
0.9954999999999999,-6.003063599585037,-3.2370066837578517,-5.46608900086703,-2.297163471294215
0.996,-6.001984114044655,-3.242104906209701,-5.4625338933934735,-2.303067378228334
0.9964999999999999,-5.994998074442956,-3.2474030526018782,-5.459007338500138,-2.3089303427608563
0.997,-5.993409532648675,-3.252945137816992,-5.4554484822810805,-2.3147836308028884
0.9974999999999999,-5.990082253235623,-3.2581410494348226,-5.452007286723221,-2.320645027918166
0.998,-5.986493221815353,-3.26346291313986,-5.448467056138577,-2.326450127884349
0.9984999999999999,-5.982788983668138,-3.2688882341145447,-5.44494405930307,-2.3322436077654896
0.999,-5.976843004288084,-3.2745240625758827,-5.4414674481830865,-2.338029597862778
0.9994999999999999,-5.973893013111574,-3.2797711012098545,-5.438029918507864,-2.3438107266456027
1.0,-5.969654282648394,-3.2850836822465146,-5.434672047152647,-2.3496122229265675
1.0005,-5.9691422641088,-3.289935545080538,-5.431163066792651,-2.3552985817429395
1.001,-5.965589072141919,-3.29517807746995,-5.427733217507683,-2.360989181560901
1.0014999999999998,-5.96234388335813,-3.300407468284142,-5.42435957478475,-2.3667408232762464
1.002,-5.958646718585692,-3.3056196354197387,-5.421018400374781,-2.3724557981756624
1.0025,-5.955196996046652,-3.3108417343059076,-5.417891346315034,-2.3781618508091054
1.003,-5.9517523280341695,-3.3160544589775736,-5.414584780918661,-2.3838527832506875
1.0034999999999998,-5.948386002846073,-3.321233950350083,-5.411223034727765,-2.3894863686839267
1.004,-5.942930221151068,-3.326752743230047,-5.407965779819421,-2.395166255047929
1.0045,-5.941745469346111,-3.3315735469635097,-5.404641968867687,-2.4007837872179385
1.005,-5.938424178942723,-3.3367167716098316,-5.40152122321647,-2.4065259061794713
