strain,MoS2_homo,MoS2_lumo,WSe2_homo,WSe2_lumo
0.995,-5.98691023397053,-3.153142697392301,-5.456621804948884,-2.157324433167628
0.9954999999999999,-5.980763273546003,-3.158961973549964,-5.452900680830397,-2.1635744803346757
0.996,-5.973599411353499,-3.1644276926353494,-5.448906397393792,-2.1697393602614428
0.9964999999999999,-5.974205907611574,-3.1699017434087047,-5.445060636778718,-2.175914932894651
0.997,-5.968904490155985,-3.1752234771312198,-5.4412708808344865,-2.1821218412847836
0.9974999999999999,-5.9622386158226135,-3.1809552792969416,-5.437510101310508,-2.188300396781265
0.998,-5.959397611838121,-3.186365147941405,-5.433690947545715,-2.1944214472540535
0.9984999999999999,-5.95682905097409,-3.191737195217182,-5.429944476144563,-2.200556546629688
0.999,-5.954810542980763,-3.1974237024341168,-5.426157754282028,-2.206639662311032
0.9994999999999999,-5.951334249976796,-3.2028025202290054,-5.422228540153658,-2.2125882401357106
1.0,-5.9474652395549885,-3.208323948312157,-5.41872734599217,-2.218808311426076
1.0005,-5.943940677417264,-3.2137289231524715,-5.414975745970967,-2.224839529512211
1.001,-5.940171328886713,-3.219156152793426,-5.411249105820657,-2.230838000594015
1.0014999999999998,-5.936500786750717,-3.2245700891950086,-5.407600712859469,-2.2368996058845956
1.002,-5.932662646294781,-3.2299431681164616,-5.403977948130681,-2.242923017562002
1.0025,-5.927476824536379,-3.2356778241351516,-5.400386000603256,-2.2489651347734183
1.003,-5.9237651146215065,-3.2410581676135717,-5.3968103764638355,-2.2549578626703415
1.0034999999999998,-5.919335788157257,-3.246494947455434,-5.393474030794858,-2.2610160619028674
1.004,-5.917920725532818,-3.251456279063799,-5.389823207703577,-2.266883986929667
1.0045,-5.914359768367081,-3.2568002439471444,-5.386261993490497,-2.272793837183305
1.005,-5.910734992982368,-3.2621216434688836,-5.382677569258113,-2.278686294733176
