shift,z_dist,strain,gap
0.4,6.0,0.99,"(0.6576360120278121, 1.6378474357004051, 0.9802114236725931)"
0.4,6.0,0.9915384615384615,"(0.6364344827096632, 1.6031094167266402, 0.966674934016977)"
0.4,6.0,0.9930769230769231,"(0.6151431622757189, 1.5683047089747832, 0.9531615466990644)"
0.4,6.0,0.9946153846153846,"(0.5954799460535951, 1.5345916412437808, 0.9391116951901857)"
0.4,6.0,0.9961538461538462,"(0.5747353337550407, 1.500068726927277, 0.9253333931722363)"
0.4,6.0,0.9976923076923077,"(0.5547201722569359, 1.466661772179377, 0.9119415999224412)"
0.4,6.0,0.9992307692307693,"(0.5338198885573937, 1.4322326079337866, 0.8984127193763929)"
0.4,6.0,1.0007692307692309,"(0.5158776386402335, 1.4003135197425982, 0.8844358811023647)"
0.4,6.0,1.0023076923076923,"(0.4964272838779933, 1.36686245209886, 0.8704351682208666)"
0.4,6.0,1.0038461538461538,"(0.47585778031915715, 1.3324515507221968, 0.8565937704030396)"
0.4,6.0,1.0053846153846153,"(0.45722146364515204, 1.2999184732078874, 0.8426970095627354)"
0.4,6.0,1.006923076923077,"(0.43739359446461135, 1.2663142242333085, 0.8289206297686972)"
0.4,6.0,1.0084615384615385,"(0.41954716980634266, 1.234173791395702, 0.8146266215893594)"
0.4,6.0,1.01,"(0.40165564857758973, 1.2022807301695484, 0.8006250815919587)"
0.4,6.071428571428571,0.99,"(0.7170714253762601, 1.6209553032971888, 0.9038838779209287)"
0.4,6.071428571428571,0.9915384615384615,"(0.6935049307079219, 1.5852484820076187, 0.8917435512996968)"
0.4,6.071428571428571,0.9930769230769231,"(0.6720532238807, 1.5509736635514848, 0.8789204396707848)"
0.4,6.071428571428571,0.9946153846153846,"(0.6496219980207587, 1.5161196364709892, 0.8664976384502305)"
0.4,6.071428571428571,0.9961538461538462,"(0.6278849779648241, 1.48150174684169, 0.8536167688768659)"
0.4,6.071428571428571,0.9976923076923077,"(0.6084290145655764, 1.4485736476078463, 0.8401446330422699)"
0.4,6.071428571428571,0.9992307692307693,"(0.5856713082302744, 1.4132995959037071, 0.8276282876734328)"
0.4,6.071428571428571,1.0007692307692309,"(0.5658959702176697, 1.380789672782965, 0.8148937025652953)"
0.4,6.071428571428571,1.0023076923076923,"(0.5468600038944735, 1.3480654928135298, 0.8012054889190563)"
0.4,6.071428571428571,1.0038461538461538,"(0.526476392994999, 1.3148709788231245, 0.7883945858281255)"
0.4,6.071428571428571,1.0053846153846153,"(0.5061705353253274, 1.281343872132613, 0.7751733368072855)"
0.4,6.071428571428571,1.006923076923077,"(0.48772183087471976, 1.2494656591140143, 0.7617438282392945)"
0.4,6.071428571428571,1.0084615384615385,"(0.46824142417418557, 1.2167281212273438, 0.7484866970531582)"
0.4,6.071428571428571,1.01,"(0.44953109925771073, 1.1845623839684953, 0.7350312847107846)"
0.4,6.142857142857143,0.99,"(0.7668168843411576, 1.600911295700855, 0.8340944113596975)"
0.4,6.142857142857143,0.9915384615384615,"(0.7441552430727855, 1.56638780989611, 0.8222325668233245)"
0.4,6.142857142857143,0.9930769230769231,"(0.7216726482762773, 1.5320647456686267, 0.8103920973923494)"
0.4,6.142857142857143,0.9946153846153846,"(0.6999181476716658, 1.498204156083837, 0.7982860084121712)"
0.4,6.142857142857143,0.9961538461538462,"(0.6778353583135588, 1.4639205046330477, 0.7860851463194889)"
0.4,6.142857142857143,0.9976923076923077,"(0.6554903272350353, 1.4299522740429296, 0.7744619468078943)"
0.4,6.142857142857143,0.9992307692307693,"(0.6337132199779191, 1.3960725077361495, 0.7623592877582305)"
0.4,6.142857142857143,1.0007692307692309,"(0.6133935022989253, 1.3635360701673895, 0.7501425678684642)"
0.4,6.142857142857143,1.0023076923076923,"(0.5927885960805521, 1.3299369413804847, 0.7371483452999326)"
0.4,6.142857142857143,1.0038461538461538,"(0.5721625510224677, 1.2968591195959436, 0.7246965685734759)"
0.4,6.142857142857143,1.0053846153846153,"(0.5514905141533353, 1.2639051289215406, 0.7124146147682053)"
0.4,6.142857142857143,1.006923076923077,"(0.5295939222428079, 1.229848648079627, 0.700254725836819)"
0.4,6.142857142857143,1.0084615384615385,"(0.51232634783651, 1.199621770819542, 0.687295422983032)"
0.4,6.142857142857143,1.01,"(0.4930069996412091, 1.1675209243231368, 0.6745139246819277)"
