distance,shift,gap
6.250000000000000000e+00,0.000000000000000000e+00,6.271088190901209503e-01
6.289473684210526550e+00,0.000000000000000000e+00,6.558663533278551450e-01
6.328947368421052211e+00,0.000000000000000000e+00,6.828827702440664060e-01
6.368421052631578760e+00,0.000000000000000000e+00,7.081051004912177760e-01
6.407894736842105310e+00,0.000000000000000000e+00,7.301902812950397115e-01
6.447368421052631859e+00,0.000000000000000000e+00,7.496944377663007364e-01
6.486842105263157521e+00,0.000000000000000000e+00,7.691754255181817435e-01
6.526315789473684070e+00,0.000000000000000000e+00,7.862502938972395494e-01
6.565789473684210620e+00,0.000000000000000000e+00,8.030869611691894283e-01
6.605263157894737169e+00,0.000000000000000000e+00,8.177239348297706822e-01
6.644736842105262831e+00,0.000000000000000000e+00,8.305672372740584564e-01
6.684210526315789380e+00,0.000000000000000000e+00,8.437891270632356111e-01
6.723684210526315930e+00,0.000000000000000000e+00,8.545457826239055699e-01
6.763157894736842479e+00,0.000000000000000000e+00,8.644004436656443913e-01
6.802631578947368141e+00,0.000000000000000000e+00,8.747737136441636752e-01
6.842105263157894690e+00,0.000000000000000000e+00,8.817483145105917686e-01
6.881578947368421240e+00,0.000000000000000000e+00,8.909284426173991189e-01
6.921052631578946901e+00,0.000000000000000000e+00,8.938440430351375365e-01
6.960526315789473450e+00,0.000000000000000000e+00,8.890508835535995136e-01
7.000000000000000000e+00,0.000000000000000000e+00,8.851870837612534348e-01
6.250000000000000000e+00,5.263157894736841813e-02,6.309853268407581428e-01
6.289473684210526550e+00,5.263157894736841813e-02,6.596463458703846205e-01
6.328947368421052211e+00,5.263157894736841813e-02,6.852464440928648370e-01
6.368421052631578760e+00,5.263157894736841813e-02,7.103461994944668678e-01
6.407894736842105310e+00,5.263157894736841813e-02,7.329327979582308528e-01
6.447368421052631859e+00,5.263157894736841813e-02,7.517234678083950516e-01
6.486842105263157521e+00,5.263157894736841813e-02,7.710986864514396411e-01
6.526315789473684070e+00,5.263157894736841813e-02,7.880138235575855354e-01
6.565789473684210620e+00,5.263157894736841813e-02,8.042830907453005773e-01
6.605263157894737169e+00,5.263157894736841813e-02,8.194613569006509168e-01
6.644736842105262831e+00,5.263157894736841813e-02,8.320062143626233420e-01
6.684210526315789380e+00,5.263157894736841813e-02,8.447230968693855147e-01
6.723684210526315930e+00,5.263157894736841813e-02,8.554420281192816056e-01
6.763157894736842479e+00,5.263157894736841813e-02,8.652031584782606810e-01
6.802631578947368141e+00,5.263157894736841813e-02,8.755088586881925039e-01
6.842105263157894690e+00,5.263157894736841813e-02,8.823350587666556333e-01
6.881578947368421240e+00,5.263157894736841813e-02,8.914885670642539450e-01
6.921052631578946901e+00,5.263157894736841813e-02,8.938315136169305841e-01
6.960526315789473450e+00,5.263157894736841813e-02,8.891045006144230323e-01
7.000000000000000000e+00,5.263157894736841813e-02,8.851870835193536013e-01
6.250000000000000000e+00,1.052631578947368363e-01,6.403488965136647781e-01
6.289473684210526550e+00,1.052631578947368363e-01,6.691005282588419201e-01
6.328947368421052211e+00,1.052631578947368363e-01,6.949759994041242450e-01
6.368421052631578760e+00,1.052631578947368363e-01,7.170139940871189665e-01
6.407894736842105310e+00,1.052631578947368363e-01,7.391188639974503038e-01
6.447368421052631859e+00,1.052631578947368363e-01,7.590378953269777407e-01
6.486842105263157521e+00,1.052631578947368363e-01,7.759523172320118567e-01
6.526315789473684070e+00,1.052631578947368363e-01,7.930965422492296524e-01
6.565789473684210620e+00,1.052631578947368363e-01,8.084257997610582169e-01
6.605263157894737169e+00,1.052631578947368363e-01,8.226689787382986951e-01
6.644736842105262831e+00,1.052631578947368363e-01,8.354790553999025260e-01
6.684210526315789380e+00,1.052631578947368363e-01,8.472697707335291595e-01
6.723684210526315930e+00,1.052631578947368363e-01,8.579768163013139493e-01
6.763157894736842479e+00,1.052631578947368363e-01,8.674919071736844067e-01
6.802631578947368141e+00,1.052631578947368363e-01,8.776157231280126148e-01
6.842105263157894690e+00,1.052631578947368363e-01,8.840846933169542732e-01
6.881578947368421240e+00,1.052631578947368363e-01,8.930963174226671519e-01
6.921052631578946901e+00,1.052631578947368363e-01,8.938159246604198138e-01
6.960526315789473450e+00,1.052631578947368363e-01,8.892648127728282059e-01
7.000000000000000000e+00,1.052631578947368363e-01,8.851952321770656384e-01
6.250000000000000000e+00,1.578947368421052544e-01,6.562271914929083128e-01
6.289473684210526550e+00,1.578947368421052544e-01,6.826368544588554688e-01
6.328947368421052211e+00,1.578947368421052544e-01,7.058070973297544404e-01
6.368421052631578760e+00,1.578947368421052544e-01,7.288701460690805156e-01
6.407894736842105310e+00,1.578947368421052544e-01,7.475777996841886930e-01
6.447368421052631859e+00,1.578947368421052544e-01,7.663086170747734904e-01
6.486842105263157521e+00,1.578947368421052544e-01,7.835305246193955409e-01
6.526315789473684070e+00,1.578947368421052544e-01,8.004678377452603133e-01
6.565789473684210620e+00,1.578947368421052544e-01,8.142702457623038903e-01
6.605263157894737169e+00,1.578947368421052544e-01,8.283251779184594987e-01
6.644736842105262831e+00,1.578947368421052544e-01,8.402497882884848446e-01
6.684210526315789380e+00,1.578947368421052544e-01,8.513301146283276388e-01
6.723684210526315930e+00,1.578947368421052544e-01,8.617742988165870699e-01
6.763157894736842479e+00,1.578947368421052544e-01,8.709353226002944925e-01
6.802631578947368141e+00,1.578947368421052544e-01,8.807524513047506609e-01
6.842105263157894690e+00,1.578947368421052544e-01,8.871450563300078418e-01
6.881578947368421240e+00,1.578947368421052544e-01,8.955287174597044153e-01
6.921052631578946901e+00,1.578947368421052544e-01,8.937789552991326492e-01
6.960526315789473450e+00,1.578947368421052544e-01,8.894180805940166135e-01
7.000000000000000000e+00,1.578947368421052544e-01,8.851147180320337871e-01
6.250000000000000000e+00,2.105263157894736725e-01,6.732435266468679291e-01
6.289473684210526550e+00,2.105263157894736725e-01,6.984827491925431620e-01
6.328947368421052211e+00,2.105263157894736725e-01,7.211665973490947179e-01
6.368421052631578760e+00,2.105263157894736725e-01,7.402289176352567779e-01
6.407894736842105310e+00,2.105263157894736725e-01,7.600072814560365764e-01
6.447368421052631859e+00,2.105263157894736725e-01,7.768113166081662690e-01
6.486842105263157521e+00,2.105263157894736725e-01,7.931694660897878890e-01
6.526315789473684070e+00,2.105263157894736725e-01,8.080112964385900431e-01
6.565789473684210620e+00,2.105263157894736725e-01,8.233360970346866869e-01
6.605263157894737169e+00,2.105263157894736725e-01,8.343054987082834106e-01
6.644736842105262831e+00,2.105263157894736725e-01,8.456121074019055106e-01
6.684210526315789380e+00,2.105263157894736725e-01,8.561340451059376022e-01
6.723684210526315930e+00,2.105263157894736725e-01,8.663593800360636088e-01
6.763157894736842479e+00,2.105263157894736725e-01,8.751763804570840133e-01
6.802631578947368141e+00,2.105263157894736725e-01,8.841070466053171373e-01
6.842105263157894690e+00,2.105263157894736725e-01,8.912861544705074079e-01
6.881578947368421240e+00,2.105263157894736725e-01,8.974397715284190280e-01
6.921052631578946901e+00,2.105263157894736725e-01,8.936735102790304142e-01
