     twist_angle  internal_angle  natoms  strain                 coeffs_a                 coeffs_b  norm_ratio
0           0.97          119.10 2160.00    0.59   ([-20, -13], [14, -8])   ([-21, -14], [15, -8])        1.09
1           0.97          117.11 3279.00    0.22  ([-25, -15], [15, -12])  ([-26, -16], [16, -12])        1.07
2           0.97          119.40 2760.00    0.22  ([-23, -14], [15, -10])  ([-24, -15], [16, -10])        1.08
3           0.98          118.50 3126.00    0.12  ([-25, -15], [15, -11])  ([-26, -16], [16, -11])        1.04
4           0.99          116.58 2613.00    0.31    ([22, 14], [-14, 10])    ([23, 15], [-15, 10])        1.08
5           0.99          117.30 3510.00    0.31  ([-26, -15], [15, -13])  ([-27, -16], [16, -13])        1.07
6           1.00          118.23 2478.00    0.31     ([22, 14], [-14, 9])     ([23, 15], [-15, 9])        1.04
7           1.00          120.00 2973.00    0.01  ([-25, -15], [15, -10])  ([-26, -16], [16, -10])        1.00
8           1.00          119.55 2967.00    0.10  ([-14, 10], [-11, -26])  ([-15, 10], [-11, -27])        1.08
9           1.01          117.48 3753.00    0.39    ([27, 15], [-15, 14])    ([28, 16], [-16, 14])        1.07
10          1.01          118.60 3351.00    0.21  ([-26, -15], [15, -12])  ([-27, -16], [16, -12])        1.04
11          1.01          114.71 3339.00    0.29  ([-25, -15], [14, -13])  ([-26, -16], [15, -13])        1.07
12          1.02          120.00 2343.00    0.31     ([22, 14], [-14, 8])     ([23, 15], [-15, 8])        1.00
13          1.02          119.30 2337.00    0.45   ([-21, -13], [14, -9])   ([-22, -14], [15, -9])        1.09
14          1.02          121.05 2820.00    0.12  ([-14, 10], [-10, -25])  ([-15, 10], [-10, -26])        1.04
15          1.02          116.84 2814.00    0.19  ([-23, -14], [14, -11])  ([-24, -15], [15, -11])        1.08
16          1.02          118.70 3588.00    0.30    ([27, 15], [-15, 13])    ([28, 16], [-16, 13])        1.03
17          1.03          120.00 3192.00    0.11  ([-26, -15], [15, -11])  ([-27, -16], [16, -11])        1.00
18          1.03          114.98 3576.00    0.38  ([-26, -15], [14, -14])  ([-27, -16], [15, -14])        1.07
19          1.03          116.02 3186.00    0.20  ([-25, -15], [14, -12])  ([-26, -16], [15, -12])        1.03
20          1.04          121.07 2208.00    0.47   ([-21, -13], [14, -8])   ([-22, -14], [15, -8])        1.05
21          1.04          118.78 3837.00    0.39    ([28, 15], [-15, 14])    ([29, 16], [-16, 14])        1.03
22          1.04          116.21 2202.00    0.56   ([-20, -13], [13, -9])   ([-21, -14], [14, -9])        1.09
23          1.04          115.24 3825.00    0.46    ([27, 15], [-14, 15])    ([28, 16], [-15, 15])        1.07
24          1.04          118.36 2673.00    0.19  ([-23, -14], [14, -10])  ([-24, -15], [15, -10])        1.04
25          1.04          122.19 2667.00    0.26   ([-10, -23], [25, 15])   ([-10, -24], [26, 16])        1.09
26          1.04          120.00 3423.00    0.20    ([27, 15], [-15, 12])    ([28, 16], [-16, 12])        1.00
27          1.05          116.20 3417.00    0.29  ([-26, -15], [14, -13])  ([-27, -16], [15, -13])        1.03
28          1.05          117.43 3033.00    0.11  ([-25, -15], [14, -11])  ([-26, -16], [15, -11])        1.00
29          1.05          117.07 3027.00    0.16  ([-14, 10], [-12, -26])  ([-15, 10], [-12, -27])        1.08
30          1.05          118.03 2079.00    0.56   ([-20, -13], [13, -8])   ([-21, -14], [14, -8])        1.04
31          1.06          120.00 3666.00    0.29    ([28, 15], [-15, 13])    ([29, 16], [-16, 13])        1.00
32          1.06          116.38 3660.00    0.38    ([27, 15], [-14, 14])    ([28, 16], [-15, 14])        1.03
33          1.06          120.00 2532.00    0.19   ([-23, -14], [14, -9])   ([-24, -15], [15, -9])        1.00
34          1.06          115.44 2526.00    0.31    ([22, 14], [-13, 10])    ([23, 15], [-14, 10])        1.03
35          1.06          120.00 3921.00    0.38  ([-29, -15], [15, -14])  ([-30, -16], [16, -14])        1.00
36          1.07          116.54 3915.00    0.46    ([28, 15], [-14, 15])    ([29, 16], [-15, 15])        1.03
37          1.07          120.00 1956.00    0.57   ([-20, -13], [13, -7])   ([-21, -14], [14, -7])        1.00
38          1.07          117.52 3258.00    0.20  ([-26, -15], [14, -12])  ([-27, -16], [15, -12])        1.00
39          1.07          117.27 3252.00    0.26    ([25, 14], [-14, 13])    ([26, 15], [-15, 13])        1.08
40          1.07          122.57 2880.00    0.07    ([25, 14], [-15, 10])    ([26, 15], [-16, 10])        1.00
41          1.08          117.60 3495.00    0.30    ([27, 15], [-14, 13])    ([28, 16], [-15, 13])        1.00
42          1.08          117.12 2391.00    0.34     ([22, 14], [-13, 9])     ([23, 15], [-14, 9])        1.01
43          1.08          117.46 3489.00    0.34  ([-26, -14], [14, -14])  ([-27, -15], [15, -14])        1.07
44          1.08          116.51 2385.00    0.41  ([-21, -13], [13, -10])  ([-22, -14], [14, -10])        1.09
45          1.08          121.13 1833.00    0.76    ([-7, -19], [20, 13])    ([-7, -20], [21, 14])        1.05
46          1.09          117.68 3744.00    0.38    ([28, 15], [-14, 14])    ([29, 16], [-15, 14])        1.00
47          1.09          117.64 3738.00    0.43  ([-14, 13], [-15, -29])  ([-15, 13], [-15, -30])        1.07
48          1.09          122.48 3099.00    0.15  ([-26, -14], [15, -11])  ([-27, -15], [16, -11])        1.00
49          1.09          120.00 2733.00    0.07  ([-14, 10], [-10, -24])  ([-15, 10], [-10, -25])        1.00
50          1.09          122.89 3093.00    0.21    ([27, 15], [-15, 10])    ([28, 16], [-16, 10])        1.07
51          1.09          117.79 3999.00    0.51  ([-14, 14], [-16, -30])  ([-15, 14], [-16, -31])        1.07
52          1.09          120.60 2727.00    0.19   ([-25, -15], [14, -9])   ([-26, -16], [15, -9])        1.08
