    twist_angle  internal_angle  natoms  strain                  coeffs_a                  coeffs_b  norm_ratio
0          0.00           60.00    6.00    0.00          ([1, 1], [0, 1])          ([1, 1], [0, 1])        1.00
1          4.51          124.40  969.00    0.34      ([9, 15], [-15, -7])      ([8, 15], [-15, -8])        1.00
2          4.51           55.60  969.00    0.34        ([7, 15], [-7, 8])        ([6, 15], [-8, 7])        1.00
3          4.62           64.72  924.00    0.19        ([14, 6], [7, 14])        ([14, 7], [6, 14])        1.00
4          4.65           51.21  918.00    0.38        ([7, 15], [-6, 9])        ([6, 15], [-7, 8])        1.00
5          4.72           60.00  885.00    0.17        ([14, 7], [7, 14])        ([14, 8], [6, 14])        1.00
6          4.72           60.00  885.00    0.17        ([6, -8], [14, 6])        ([7, -7], [14, 7])        1.00
7          4.85           55.29  840.00    0.21        ([14, 7], [8, 14])        ([14, 8], [7, 14])        1.00
8          5.05           60.00  768.00    0.39    ([-13, -7], [-6, -13])    ([-13, -8], [-5, -13])        1.00
9          5.05           60.00  768.00    0.39    ([-13, -5], [-8, -13])    ([-13, -6], [-7, -13])        1.00
10         5.09           60.00  762.00    0.00        ([6, -7], [13, 6])        ([7, -6], [13, 7])        1.00
11         5.13           52.58  756.00    0.40        ([14, 7], [8, 13])        ([14, 8], [7, 13])        1.07
12         5.38           65.50  684.00    0.25    ([-12, -5], [-6, -12])    ([-12, -6], [-5, -12])        1.00
13         5.50           60.00  651.00    0.23    ([-12, -5], [-7, -12])    ([-12, -6], [-6, -12])        1.00
14         5.50           60.00  651.00    0.23      ([-6, 6], [-12, -6])      ([-7, 5], [-12, -7])        1.00
15         5.68           54.50  612.00    0.28      ([-6, -12], [5, -7])      ([-5, -12], [6, -6])        1.00
16         6.01           60.00  546.00    0.00        ([11, 5], [6, 11])        ([11, 6], [5, 11])        1.00
17         6.42           66.59  480.00    0.36    ([-10, -4], [-5, -10])    ([-10, -5], [-4, -10])        1.00
18         6.59           60.00  453.00    0.33    ([-10, -4], [-6, -10])    ([-10, -5], [-5, -10])        1.00
19         6.59           60.00  453.00    0.33      ([-5, 5], [-10, -5])      ([-6, 4], [-10, -6])        1.00
20         6.63           31.56  900.00    0.33       ([2, 16], [-8, 11])       ([0, 15], [-10, 9])        1.10
21         7.34           60.00  366.00    0.00         ([4, -5], [9, 4])         ([5, -4], [9, 5])        1.00
22         7.93           60.00  942.00    0.00   ([-13, -12], [-1, -13])    ([-12, -13], [1, -12])        1.00
23         8.61           60.00  798.00    0.00      ([11, -1], [12, 11])       ([12, 1], [11, 12])        1.00
24         9.02           55.62  972.00    0.36      ([-7, 8], [-15, -6])      ([-9, 6], [-15, -8])        1.00
25         9.15           20.52  708.00    0.25       ([5, 19], [-2, 16])       ([2, 18], [-5, 14])        1.00
26         9.43           60.00  222.00    0.00      ([-7, -3], [-4, -7])      ([-7, -4], [-3, -7])        1.00
27         9.75           23.21  624.00    0.28  ([-17, -12], [-14, -16])  ([-16, -14], [-12, -17])        1.00
28        10.13           60.00  768.00    0.39      ([-5, 8], [-13, -5])      ([-7, 6], [-13, -7])        1.00
29        10.13           60.00  768.00    0.39    ([-13, -6], [-7, -13])    ([-13, -8], [-5, -13])        1.00
30        10.21           36.79  948.00    0.18      ([-2, 14], [-12, 5])      ([-5, 12], [-14, 2])        1.00
31        10.42           60.00  546.00    0.00      ([-9, 1], [-10, -9])    ([-10, -1], [-9, -10])        1.00
32        10.53          141.07  891.00    0.37      ([12, -4], [-2, 13])      ([14, -1], [-5, 11])        1.02
33        10.53           38.93  891.00    0.37       ([14, 15], [5, 16])       ([12, 16], [2, 15])        1.02
34        10.71           90.00  690.00    0.25      ([-9, 1], [-7, -12])    ([-10, -1], [-5, -12])        1.09
35        10.99           60.00  654.00    0.00        ([12, 5], [7, 12])        ([12, 7], [5, 12])        1.00
36        11.64           60.00  438.00    0.00         ([8, -1], [9, 8])          ([9, 1], [8, 9])        1.00
37        11.92           39.93  696.00    0.25      ([-1, 12], [-10, 4])      ([-4, 10], [-12, 1])        1.00
38        12.05           29.69  954.00    0.36       ([15, 18], [7, 19])       ([12, 19], [3, 18])        1.00
39        12.14           60.00  939.00    0.16   ([-14, -10], [-4, -14])   ([-13, -12], [-1, -13])        1.00
40        12.14           60.00  939.00    0.16     ([-1, 12], [-13, -1])     ([-4, 10], [-14, -4])        1.00
41        12.77           15.15  486.00    0.36     ([-15, 2], [-18, -3])    ([-17, -2], [-19, -7])        1.04
42        13.17           60.00  114.00    0.00          ([5, 2], [3, 5])          ([5, 3], [2, 5])        1.00
43        14.21           42.83  981.00    0.33      ([-3, 13], [-13, 2])     ([-7, 10], [-15, -2])        1.05
44        14.21          137.17  981.00    0.33     ([-7, -17], [15, 13])     ([-3, -16], [13, 15])        1.05
45        14.36           83.82  768.00    0.23     ([-8, 4], [-10, -11])     ([-10, 1], [-8, -12])        1.00
46        14.39           60.00  669.00    0.23    ([-12, -8], [-4, -12])   ([-11, -10], [-1, -11])        1.00
47        14.39           60.00  669.00    0.23       ([1, -10], [11, 1])        ([4, -8], [12, 4])        1.00
48        14.74           36.18  456.00    0.38       ([1, -10], [8, -4])       ([4, -8], [10, -1])        1.00
49        14.90           22.65  714.00    0.24       ([18, 7], [19, 14])      ([18, 11], [17, 17])        1.08
50        15.06           18.99  873.00    0.37      ([-8, 14], [-15, 8])      ([-13, 9], [-19, 2])        1.05
51        15.18           60.00  258.00    0.00      ([-7, -6], [-1, -7])       ([-6, -7], [1, -6])        1.00
52        15.28           18.13  933.00    0.35     ([-5, 18], [-12, 12])     ([-11, 13], [-17, 6])        1.01
53        15.42           19.66  834.00    0.21      ([1, -19], [8, -13])      ([7, -15], [13, -8])        1.06
54        15.52           29.00  576.00    0.30       ([-2, 12], [-9, 6])       ([-6, 9], [-12, 2])        1.00
55        16.10           31.00  612.00    0.28       ([15, 9], [12, 14])       ([14, 12], [9, 15])        1.00
56        16.21           20.54  906.00    0.19     ([-3, -20], [5, -17])     ([3, -17], [11, -12])        1.07
57        16.43           60.00  294.00    0.00         ([3, -5], [8, 3])         ([5, -3], [8, 5])        1.00
58        16.66           21.59  858.00    0.20     ([-11, 11], [-16, 3])     ([-16, 5], [-19, -3])        1.08
59        16.78           33.50  564.00    0.31       ([14, 8], [11, 13])       ([13, 11], [8, 14])        1.00
60        17.07           60.00  885.00    0.17        ([14, 8], [6, 14])       ([13, 11], [2, 13])        1.00
61        17.07           60.00  885.00    0.17   ([-13, -2], [-11, -13])    ([-14, -6], [-8, -14])        1.00
62        17.46          153.50  456.00    0.38      ([14, 8], [-13, -2])     ([13, 11], [-14, -6])        1.00
63        17.59           18.50  642.00    0.27      ([-7, 12], [-13, 7])      ([-12, 7], [-17, 1])        1.05
64        17.90           60.00  186.00    0.00         ([1, 6], [-5, 1])       ([-1, 5], [-6, -1])        1.00
65        18.20           18.48  660.00    0.26      ([15, 19], [10, 20])       ([10, 20], [4, 19])        1.00
66        18.32           24.38  474.00    0.37   ([-14, -13], [-9, -14])   ([-11, -15], [-5, -14])        1.10
67        18.73           60.00  906.00    0.00    ([-14, -5], [-9, -14])    ([-14, -9], [-5, -14])        1.00
68        19.11           60.00  381.00    0.40       ([-6, 3], [-9, -6])       ([-8, 0], [-8, -8])        1.00
69        19.11           60.00  381.00    0.40          ([8, 8], [0, 8])         ([6, 9], [-3, 6])        1.00
70        19.65           60.00  618.00    0.00      ([-9, 2], [-11, -9])    ([-11, -2], [-9, -11])        1.00
